File Design Information:,,,,,,,
,,,,,,,
Date:       23/12/19,,,,,,,
Time:       08:18,,,,,,,
Revision:   2,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
C501,1uF,TopLayer,603,479.331,5288.386,180,CAP CER 1UF 16V X7R 0603
C500,100nF,TopLayer,603,479.331,5243.11,180,Cap Ceramic 0.1uF 16V Y5V -20% to 80% SMD 0603 85C Paper T/R
U500,"HEF4051BTS,118",TopLayer,16SSOP,788.386,5242.126,0,1 Circuit IC Switch 8:1 155Ohm 16-SSOP
R500,0mR,TopLayer,603,479.331,5195.866,0,RES SMD 0 OHM JUMPER 1/10W 0603
R601_8,1.5kR,TopLayer,603,102.354,4728.322,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_7,1.5kR,TopLayer,603,102.354,4137.771,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_6,1.5kR,TopLayer,603,102.354,3547.22,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_5,1.5kR,TopLayer,603,102.362,2956.693,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_4,1.5kR,TopLayer,603,102.366,2366.142,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_3,1.5kR,TopLayer,603,102.366,1775.591,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_2,1.5kR,TopLayer,603,95.472,1552.165,270,RES SMD 1.5K OHM 1% 1/10W 0603
R601_1,1.5kR,TopLayer,603,102.362,594.488,270,RES SMD 1.5K OHM 1% 1/10W 0603
R600_8,150R,TopLayer,603,405.503,4700.763,180,RES SMD 150 OHM 5% 1/10W 0603
R600_7,150R,TopLayer,603,405.503,4110.212,180,RES SMD 150 OHM 5% 1/10W 0603
R600_6,150R,TopLayer,603,405.503,3519.661,180,RES SMD 150 OHM 5% 1/10W 0603
R600_5,150R,TopLayer,603,405.512,2929.134,180,RES SMD 150 OHM 5% 1/10W 0603
R600_4,150R,TopLayer,603,405.516,2338.583,180,RES SMD 150 OHM 5% 1/10W 0603
R600_3,150R,TopLayer,603,405.516,1748.032,180,RES SMD 150 OHM 5% 1/10W 0603
R600_2,150R,TopLayer,603,391.732,1554.134,180,RES SMD 150 OHM 5% 1/10W 0603
